Day,Date,Day of Week,Location,#,Activity,DIY?,Cost (AUD/pp),Priority,Book Link,Booked?
7,Sep 11,Friday,Whitsundays,2,Jet ski island tour — Guided jet ski to South Molle + Daydream Islands; no license needed,❌ Must book,~$200,Strong Recommend,https://www.viator.com/tours/The-Whitsundays-and-Hamilton-Island/Whitsundays-Jet-Ski-Tour/d753-6380JETSKI,
7,Sep 11,Friday,Whitsundays,3,Crocodile Safari — Proserpine River cruise; spot wild crocs; tractor wagon; BBQ lunch,❌ Must book,~$145,Nice-to-Have,https://crocodilesafari.com.au/,
7,Sep 11,Friday,Whitsundays,4,Honeyeater Lookout hike — 8.2km return; panoramic views of Airlie + ocean + islands,✅ Free,$0,Strong Recommend,Start at Kara Crescent,
7,Sep 11,Friday,Whitsundays,5,Mt Rooper Circuit — 7.2km bushwalk; Conway National Park; harbour + island views,✅ Free,$0,Nice-to-Have,Trailhead at Shute Harbour,
7,Sep 11,Friday,Whitsundays,6,Beak Lookout + Coral Beach — 3.9km trail; subtropical forest; rocky beach + panoramic lookout,✅ Free,$0,Nice-to-Have,Conway National Park,
7,Sep 11,Friday,Whitsundays,7,Sunset Sail — 2hr evening cruise (if not done Day 4),❌ Ticketed,~$90,Strong Recommend,https://www.viator.com/tours/Airlie-Beach/Sunset-Sail-Whitsundays/d28628-15941P2,
7,Sep 11,Friday,Whitsundays,8,Chill day — Lagoon; Boathaven Beach; walk the strip; day drink,✅ Free,$0,Nice-to-Have,,
8,Sep 12,Saturday,Sydney,1,Darling Harbour walk — Waterfront stroll; bars; dining,✅ Free,$0,Nice-to-Have,,
8,Sep 12,Saturday,Sydney,2,The Rocks Markets (Saturday) — Weekend markets; food; crafts; art,✅ Free,$0,Strong Recommend,,
8,Sep 12,Saturday,Sydney,3,Harbour tall ship twilight dinner cruise — Evening sail + dinner; nice farewell,❌ Ticketed,~$150+,Nice-to-Have,https://www.viator.com/tours/Sydney/Sydney-Harbour-Tall-Ship-Twilight-Dinner-Cruise/d357-5067SYDTWILIGHT,
8,Sep 12,Saturday,Sydney,4,Barangaroo dinner — A'Mare (Italian fine dining); Watermans (wood-fired Mediterranean),Walk-in / reserve,$$–$$$,Strong Recommend,,
8,Sep 12,Saturday,Sydney,5,Newtown / Enmore — Eclectic neighborhood; cheap eats; indie bars; Thai + Vietnamese,✅ Free to walk,$–$$,Nice-to-Have,,
9,Sep 13,Sunday,Sydney,,Depart SYD 10:20am,,,,
